Unnamed: 0,TF,Target,Label
3681,989,1359,1
2471,643,962,1
1370,254,688,1
8525,234,1209,0
30540,1364,918,0
6781,158,683,0
1592,292,115,1
3098,890,1057,1
2232,591,825,1
2575,643,218,1
1204,254,1379,1
4039,1028,1082,1
7450,158,161,0
3861,989,875,1
14463,444,577,0
30169,1344,625,0
1504,292,353,1
296,70,82,1
22395,822,576,0
3454,973,1319,1
3964,1028,40,1
12760,346,494,0
4466,1371,23,1
1192,254,528,1
765,70,335,1
12284,346,1010,0
25460,996,1125,0
877,70,456,1
633,70,781,1
10979,292,923,0
2677,643,170,1
1434,254,790,1
1961,591,700,1
23577,955,581,0
287,70,507,1
2093,591,342,1
8483,234,1031,0
26397,1028,383,0
393,70,255,1
15115,525,1017,0
28412,1273,536,0
31933,1371,761,0
16499,591,847,0
11058,292,250,0
11372,339,886,0
3405,973,886,1
12132,339,950,0
642,70,1125,1
2503,643,221,1
22621,890,359,0
14929,444,1084,0
13120,346,454,0
31617,1371,783,0
16307,591,604,0
26300,1028,269,0
10846,292,1297,0
2664,643,877,1
10570,254,1207,0
2840,717,237,1
6182,110,385,0
2451,643,102,1
10928,292,1327,0
5953,110,520,0
1426,254,519,1
2924,717,0,1
14057,380,604,0
19538,706,407,0
10746,254,76,0
16800,600,287,0
4999,2,1215,0
17206,600,276,0
2201,591,1357,1
15822,525,9,0
20881,727,1276,0
3855,989,929,1
16221,591,304,0
31667,1371,1207,0
33,2,837,1
230,70,423,1
3064,822,864,1
14788,444,1322,0
21198,727,52,0
11878,339,645,0
13845,380,956,0
1052,242,1291,1
25059,989,1217,0
10793,254,1164,0
26348,1028,562,0
4660,1371,425,1
1351,254,524,1
18054,601,698,0
1729,292,950,1
7669,201,105,0
3745,989,291,1
8,2,0,1
22999,890,371,0
2370,643,554,1
30218,1344,160,0
3574,973,272,1
23637,955,772,0
2753,717,89,1
18507,643,496,0
926,110,1342,1
859,70,740,1
22077,822,1006,0
1846,292,485,1
30430,1344,16,0
3434,973,110,1
4198,1028,414,1
1157,254,1357,1
4654,1371,820,1
530,70,476,1
3013,717,1192,1
3254,973,1067,1
20644,727,660,0
227,70,467,1
2406,643,817,1
