Unnamed: 0,TF,Target,Label
3034,321,338,0
1068,461,772,1
2277,906,351,1
3946,671,249,0
993,427,372,1
3290,435,866,0
1334,572,351,1
4040,714,516,0
4552,901,257,0
2488,119,805,0
2426,63,549,0
1893,772,265,1
529,252,201,1
3905,667,217,0
3236,402,627,0
3149,355,444,0
3915,667,231,0
613,282,622,1
3622,572,421,0
3328,457,484,0
1824,752,116,1
3056,335,733,0
4469,885,352,0
3360,461,190,0
3938,670,188,0
1405,606,161,1
2777,239,155,0
742,321,646,1
1852,760,885,1
1104,471,286,1
3641,577,897,0
932,396,262,1
3720,607,60,0
2132,857,128,1
1347,577,361,1
2718,212,288,0
4424,857,43,0
2403,54,762,0
2009,809,642,1
2905,282,219,0
930,390,671,1
2964,298,394,0
2924,286,514,0
695,304,340,1
1472,624,336,1
2194,885,119,1
2660,201,637,0
422,211,571,1
3897,667,356,0
482,239,219,1
3525,531,753,0
1330,572,336,1
3947,671,816,0
1748,714,220,1
1654,671,637,1
1994,808,588,1
3332,457,874,0
4072,736,529,0
1090,465,571,1
668,298,356,1
229,152,335,1
3907,667,908,0
4301,809,527,0
1655,671,755,1
4347,838,289,0
632,286,540,1
4379,848,12,0
1525,644,708,1
2003,809,336,1
111,54,546,1
2028,824,268,1
4166,765,614,0
3626,572,149,0
4359,839,385,0
479,239,302,1
3849,654,174,0
4553,901,163,0
3404,472,357,0
2137,858,885,1
196,119,787,1
29,30,658,1
1557,654,460,1
1187,498,384,1
2388,52,836,0
3706,607,873,0
2392,52,810,0
1605,667,709,1
3697,606,668,0
3817,644,307,0
674,298,233,1
100,52,844,1
1040,457,220,1
3123,351,31,0
2261,901,492,1
3599,571,824,0
831,351,496,1
4286,808,505,0
3353,461,434,0
3606,571,437,0
1874,765,732,1
1313,571,760,1
1632,667,411,1
2206,885,93,1
1938,788,152,1
96,52,650,1
2960,298,378,0
3470,498,74,0
1503,641,316,1
1840,757,242,1
4337,832,553,0
3382,465,414,0
134,63,83,1
368,201,578,1
2521,152,609,0
1844,759,335,1
1112,472,492,1
3222,390,520,0
2774,239,294,0
485,239,572,1
1646,670,664,1
4116,752,684,0
4486,885,94,0
2055,838,282,1
1971,803,817,1
4263,803,769,0
4144,760,288,0
4393,850,393,0
3479,498,137,0
1428,607,586,1
2336,31,47,0
1623,667,646,1
3241,411,585,0
962,411,550,1
3886,660,866,0
3795,641,329,0
3296,450,8,0
1036,457,15,1
4136,759,147,0
611,282,336,1
1314,571,674,1
4117,752,751,0
2260,901,708,1
4569,906,728,0
857,355,82,1
4320,824,167,0
2903,282,665,0
1349,577,671,1
2087,848,677,1
4295,809,590,0
2045,832,419,1
1513,642,302,1
2539,152,663,0
321,195,211,1
4429,858,767,0
2814,250,186,0
1780,736,286,1
2101,850,259,1
1233,531,540,1
4185,772,342,0
4033,708,289,0
3254,411,299,0
3578,568,788,0
949,411,667,1
1761,717,24,1
1825,752,98,1
420,211,471,1
2058,838,752,1
1741,708,785,1
998,435,512,1
4394,853,299,0
4174,765,901,0
522,250,457,1
44,31,198,1
426,212,485,1
247,152,302,1
4053,717,760,0
4575,909,280,0
2283,909,677,1
2999,307,747,0
2067,839,30,1
3396,471,191,0
3933,668,90,0
2966,298,416,0
3805,642,867,0
1613,667,803,1
672,298,319,1
944,402,199,1
1178,498,318,1
3224,396,319,0
4350,838,111,0
4132,757,490,0
2714,211,384,0
1004,450,286,1
764,335,538,1
56,32,752,1
1307,571,248,1
1061,461,198,1
4498,885,45,0
2574,164,63,0
2987,304,860,0
3924,667,561,0
3285,427,443,0
1410,606,682,1
2613,195,590,0
2772,239,392,0
1414,607,708,1
707,307,201,1
2321,30,617,0
3639,577,195,0
3702,606,299,0
1286,568,162,1
480,239,787,1
3605,571,99,0
2102,853,803,1
2348,32,431,0
445,229,43,1
4230,788,62,0
2821,252,766,0
2712,211,693,0
3764,624,255,0
1641,668,243,1
2737,229,27,0
1615,667,62,1
282,164,909,1
1594,660,421,1
1882,765,853,1
2771,239,735,0
2177,885,187,1
